miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	23631	14665.370029	N
hsa-let-7a-2	23555	14618.204521	N
hsa-let-7a-3	23323	14474.225601	N
hsa-let-7b	56151	34847.242711	N
hsa-let-7c	628	389.736041	N
hsa-let-7d	576	357.464904	N
hsa-let-7e	1274	790.642860	N
hsa-let-7f-1	7141	4431.695966	N
hsa-let-7f-2	7237	4491.273450	N
hsa-let-7g	618	383.530053	N
hsa-let-7i	280	173.767661	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1-2	2	1.241198	N
hsa-mir-100	835	518.199990	N
hsa-mir-101-1	5849	3629.882328	N
hsa-mir-101-2	5990	3717.386758	N
hsa-mir-103a-1	5134	3186.154193	Y
hsa-mir-103a-2	5024	3117.888326	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	25	15.514970	Y
hsa-mir-106b	408	253.204307	N
hsa-mir-107	31	19.238563	Y
hsa-mir-10a	12313	7641.432913	N
hsa-mir-10b	46909	29111.668685	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	4	2.482395	N
hsa-mir-1181	2	1.241198	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	2	1.241198	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	0	0.000000	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	0	0.000000	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	2	1.241198	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	4	2.482395	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	1657	1028.332197	N
hsa-mir-125b-1	77	47.786107	N
hsa-mir-125b-2	85	52.750897	N
hsa-mir-126	5176	3212.219342	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.620599	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	11	6.826587	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	32	19.859161	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	144	89.366226	N
hsa-mir-1270	2	1.241198	N
