miRNA_ID	bcb325b2-78c4-4f93-8e17-0fa6d1144df3
hsa-let-7a-1	13.840224223349695
hsa-let-7a-2	13.835577191193348
hsa-let-7a-3	13.821298212800755
hsa-let-7b	15.08879828683263
hsa-let-7c	8.61005052380633
hsa-let-7d	8.485688066571605
hsa-let-7e	9.62870591261437
hsa-let-7f-1	12.113968697608248
hsa-let-7f-2	12.133230033627603
hsa-let-7g	8.586952546400633
hsa-let-7i	7.449294443084576
hsa-mir-1-1	0.0
hsa-mir-1-2	1.1642701102492892
hsa-mir-100	9.020146545324891
hsa-mir-101-1	11.826104459757039
hsa-mir-101-2	11.860461120769278
hsa-mir-103a-1	11.638053102364378
hsa-mir-103a-2	11.606816181583733
hsa-mir-103b-1	0.0
hsa-mir-103b-2	0.0
hsa-mir-105-1	0.0
hsa-mir-105-2	0.0
hsa-mir-106a	4.045702443808982
hsa-mir-106b	7.989844663999977
hsa-mir-107	4.339034952786576
hsa-mir-10a	12.899816267527422
hsa-mir-10b	14.829359473292003
hsa-mir-1178	0.0
hsa-mir-1179	0.0
hsa-mir-1180	1.8000798538278198
hsa-mir-1181	1.1642701102492892
hsa-mir-1182	0.0
hsa-mir-1183	0.0
hsa-mir-1184-1	0.0
hsa-mir-1184-2	0.0
hsa-mir-1184-3	0.0
hsa-mir-1185-1	0.0
hsa-mir-1185-2	0.0
hsa-mir-1193	0.0
hsa-mir-1197	0.0
hsa-mir-1199	0.0
hsa-mir-1200	0.0
hsa-mir-1202	0.0
hsa-mir-1203	0.0
hsa-mir-1204	0.0
hsa-mir-1205	0.0
hsa-mir-1206	0.0
hsa-mir-1207	0.0
hsa-mir-1208	0.0
hsa-mir-122	0.0
hsa-mir-1224	0.0
hsa-mir-1225	0.0
hsa-mir-1226	1.1642701102492892
hsa-mir-1227	0.0
hsa-mir-1228	0.0
hsa-mir-1229	0.0
hsa-mir-1231	0.0
hsa-mir-1233-1	0.0
hsa-mir-1233-2	0.0
hsa-mir-1234	0.0
hsa-mir-1236	0.0
hsa-mir-1237	0.0
hsa-mir-1238	0.0
hsa-mir-124-1	0.0
hsa-mir-124-2	0.0
hsa-mir-124-3	0.0
hsa-mir-1243	0.0
hsa-mir-1244-1	0.0
hsa-mir-1244-2	0.0
hsa-mir-1244-3	0.0
hsa-mir-1244-4	0.0
hsa-mir-1245a	0.0
hsa-mir-1245b	0.0
hsa-mir-1246	0.0
hsa-mir-1247	1.1642701102492892
hsa-mir-1248	0.0
hsa-mir-1249	1.8000798538278198
hsa-mir-1250	0.0
hsa-mir-1251	0.0
hsa-mir-1252	0.0
hsa-mir-1253	0.0
hsa-mir-1254-1	0.0
hsa-mir-1254-2	0.0
hsa-mir-1255a	0.0
hsa-mir-1255b-1	0.0
hsa-mir-1255b-2	0.0
hsa-mir-1256	0.0
hsa-mir-1257	0.0
hsa-mir-1258	0.0
hsa-mir-125a	10.007492943881735
hsa-mir-125b-1	5.608398459563979
hsa-mir-125b-2	5.748216925620225
hsa-mir-126	11.649803750630085
hsa-mir-1260a	0.0
hsa-mir-1260b	0.0
hsa-mir-1261	0.0
hsa-mir-1262	0.6965271554576169
hsa-mir-1263	0.0
hsa-mir-1264	0.0
hsa-mir-1265	0.0
hsa-mir-1266	2.968383317526026
hsa-mir-1267	0.0
hsa-mir-1268a	0.0
hsa-mir-1268b	0.0
hsa-mir-1269a	4.382609225636611
hsa-mir-1269b	0.0
hsa-mir-127	6.497711767011582
hsa-mir-1270	1.1642701102492892
hsa-mir-1271	0.0
hsa-mir-1272	0.0
hsa-mir-1273a	0.0
hsa-mir-1273c	0.0
hsa-mir-1273d	0.0
hsa-mir-1273e	0.0
hsa-mir-1273f	0.0
hsa-mir-1273g	0.0
hsa-mir-1273h	0.0
hsa-mir-1275	0.6965271554576169
hsa-mir-1276	0.0
hsa-mir-1277	1.1642701102492892
hsa-mir-1278	0.0
hsa-mir-1279	0.0
hsa-mir-128-1	5.533055948617566
hsa-mir-128-2	4.582685755435053
hsa-mir-1281	0.0
hsa-mir-1282	0.0
hsa-mir-1283-1	0.0
hsa-mir-1283-2	0.0
hsa-mir-1284	0.0
hsa-mir-1285-1	0.0
hsa-mir-1285-2	0.0
hsa-mir-1286	0.0
hsa-mir-1287	4.247727420545626
hsa-mir-1288	0.0
hsa-mir-1289-1	0.0
hsa-mir-1289-2	0.0
hsa-mir-129-1	0.0
hsa-mir-129-2	1.1642701102492892
hsa-mir-1290	0.0
hsa-mir-1291	0.0
hsa-mir-1292	0.0
hsa-mir-1293	0.0
